Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Loire-Atlantique,3476780.0,23,6,44,30,113,6,4,2235210.0,707.738411285,18894.0,21636.0,14570.0,587.0,84885.0,162034.0,48571.0,61860.0,6575.0,169533.0,32945.0,13620.0,35297.0,14732.0,881.0,54804.0,75150.0,57843.0,1783.0,84307.0,26395.0
Loiret,1592950.0,13,5,10,18,71,1,0,1304880.0,839.758489489,7651.0,9718.0,6788.0,350.0,43077.0,88572.0,24280.0,39693.0,10741.0,85807.0,15607.0,7804.0,18445.0,6346.0,534.0,30944.0,45684.0,35729.0,3681.0,46708.0,14919.0
Lot,206600.0,6,4,5,15,38,1,3,192130.0,1005.740031028,523.0,2180.0,3385.0,179.0,13315.0,34745.0,8361.0,12524.0,3559.0,32550.0,4950.0,1640.0,6777.0,597.0,471.0,12266.0,20159.0,14404.0,1428.0,19365.0,5045.0
Lot-et-Garonne,694200.0,7,5,5,23,62,1,2,605690.0,909.859,1195.0,4333.0,5648.0,253.0,23937.0,58551.0,14775.0,25335.0,6745.0,52273.0,9175.0,3230.0,11545.0,1120.0,265.0,21163.0,35294.0,26583.0,3817.0,31671.0,8566.0
Lozère,113030.0,6,1,7,10,1,0,0,97430.0,390.121429227,111.0,1583.0,967.0,32.0,6035.0,12245.0,3496.0,4871.0,565.0,11843.0,1952.0,672.0,2317.0,226.0,15.0,4807.0,6648.0,5064.0,208.0,6659.0,2070.0
Maine-et-Loire,1728040.0,17,4,31,20,187,12,1,1267410.0,611.727764694,8650.0,8698.0,7916.0,405.0,55170.0,103556.0,26322.0,49877.0,4205.0,97556.0,17298.0,7436.0,21819.0,7507.0,2104.0,35662.0,53161.0,47196.0,1198.0,51372.0,17688.0
Manche,1013170.0,14,7,8,33,34,1,0,862860.0,1384.089346945,3436.0,5512.0,7119.0,366.0,35153.0,81093.0,20519.0,38952.0,2879.0,71519.0,12739.0,5341.0,18622.0,3496.0,739.0,26594.0,46583.0,40468.0,766.0,41816.0,13734.0
Marne,661700.0,14,9,14,17,30,2,3,520490.0,1857.036164911,12013.0,10784.0,5546.0,429.0,41733.0,65993.0,22307.0,37573.0,6045.0,63397.0,14780.0,8573.0,16223.0,7534.0,736.0,26827.0,31516.0,29476.0,2398.0,32311.0,14197.0
Martinique,524900.0,10,3,5,11,4,0,0,449990.0,87.423,1420.0,11729.0,4783.0,221.0,20735.0,48754.0,18609.0,35048.0,1339.0,46406.0,10655.0,14395.0,8308.0,447.0,112.0,17971.0,28417.0,25320.0,302.0,27930.0,15960.0
Mayenne,602650.0,8,3,9,11,84,13,0,434970.0,697.656802297,1677.0,2718.0,3368.0,114.0,21600.0,44716.0,10160.0,22429.0,1856.0,41037.0,6295.0,2573.0,9341.0,1729.0,541.0,13783.0,25615.0,22841.0,470.0,23832.0,7191.0
Mayotte,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meurthe-et-Moselle,1605890.0,18,8,18,25,53,0,0,1354890.0,1957.83365023,10146.0,19967.0,6325.0,482.0,51626.0,81940.0,27573.0,39504.0,10267.0,86829.0,18068.0,11938.0,21704.0,6691.0,632.0,39043.0,43687.0,35979.0,5649.0,47346.0,20772.0
Meuse,276360.0,4,2,5,14,16,1,0,257850.0,1622.370912418,436.0,3652.0,1938.0,81.0,16105.0,29003.0,7824.0,14238.0,1857.0,27121.0,4716.0,2686.0,6161.0,487.0,157.0,11651.0,15526.0,12127.0,918.0,14900.0,5470.0
Morbihan,2532900.0,15,5,16,33,143,2,4,1981290.0,850.462642432,6271.0,11797.0,12542.0,596.0,52888.0,121011.0,34088.0,48398.0,4253.0,117954.0,21738.0,8030.0,26067.0,5837.0,1304.0,37614.0,61762.0,48708.0,1175.0,63204.0,19190.0
Moselle,2310470.0,27,9,58,28,48,4,0,1851770.0,2490.179054953,11608.0,36674.0,8914.0,665.0,82448.0,117358.0,36313.0,61562.0,22378.0,124648.0,23555.0,15253.0,28151.0,7355.0,597.0,58583.0,60988.0,52676.0,12234.0,65413.0,28169.0
